Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
South,Chalky,Cotton,839.9070348,29.18128239,FALSE,FALSE,Cloudy,66,4.565680056
West,Peaty,Maize,563.8130192,33.53199116,TRUE,FALSE,Sunny,65,4.082637517
West,Loam,Soybean,444.4091392,26.67258731,TRUE,TRUE,Sunny,131,5.933361635
East,Silt,Barley,391.6132743,19.05013946,TRUE,TRUE,Rainy,88,5.745190905
East,Silt,Cotton,453.5661757,33.67200645,TRUE,TRUE,Cloudy,125,5.879831821
North,Chalky,Wheat,994.1766654,39.90684891,FALSE,FALSE,Sunny,96,6.261172496
South,Loam,Cotton,142.1800404,15.68390751,FALSE,FALSE,Cloudy,136,0.96214144
East,Loam,Cotton,327.9157865,23.47247,FALSE,FALSE,Sunny,138,2.529802608
North,Clay,Wheat,529.2489666,23.77628238,FALSE,TRUE,Rainy,146,3.82814631
East,Peaty,Barley,291.2199488,38.11796479,TRUE,TRUE,Cloudy,76,5.45032215
West,Silt,Soybean,851.2003411,29.53903432,FALSE,FALSE,Sunny,103,4.802372767
North,Chalky,Barley,502.7918059,29.52905452,TRUE,TRUE,Cloudy,146,5.376372194
North,Silt,Barley,351.595999,29.35629879,TRUE,FALSE,Cloudy,71,4.205169079
East,Sandy,Rice,863.7539839,22.0810869,TRUE,TRUE,Cloudy,63,8.153903514
South,Clay,Rice,165.9624509,18.93290305,TRUE,TRUE,Sunny,66,3.864733393
West,Peaty,Cotton,757.5746563,31.83286612,FALSE,TRUE,Rainy,75,5.862490243
South,Loam,Cotton,275.0273811,38.8671577,TRUE,FALSE,Rainy,103,3.486220783
North,Chalky,Cotton,194.2144101,36.77543892,FALSE,TRUE,Cloudy,147,2.779076645
South,Chalky,Wheat,540.5550044,22.87657201,TRUE,FALSE,Cloudy,146,4.503199972
North,Peaty,Cotton,774.2851873,17.42170041,FALSE,FALSE,Sunny,136,4.172643892
South,Loam,Wheat,481.4800194,19.74381695,TRUE,FALSE,Rainy,103,4.003218037
East,Loam,Wheat,885.4575689,34.17791722,TRUE,FALSE,Cloudy,131,7.234193608
South,Loam,Barley,419.0895784,25.37666417,TRUE,FALSE,Rainy,87,4.359173152
North,Peaty,Soybean,745.154172,28.86812372,TRUE,TRUE,Sunny,110,7.475424661
West,Chalky,Maize,613.9858959,33.1895547,FALSE,TRUE,Sunny,107,5.316916368
West,Loam,Soybean,425.5755659,16.6654316,FALSE,TRUE,Sunny,69,3.591913278
West,Sandy,Soybean,867.6209554,15.94968256,TRUE,FALSE,Cloudy,119,5.612783641
North,Clay,Barley,699.2670891,29.68763074,FALSE,TRUE,Cloudy,107,4.971329826
South,Silt,Barley,906.3365437,33.20784126,TRUE,FALSE,Cloudy,108,6.845069978
West,Peaty,Wheat,352.1426627,36.30635186,TRUE,FALSE,Sunny,61,4.047509749
West,Sandy,Cotton,230.3248595,38.42474953,TRUE,TRUE,Rainy,76,4.233171914
West,Chalky,Cotton,860.828087,29.34551923,FALSE,FALSE,Rainy,138,5.27392663
East,Peaty,Soybean,367.6189356,19.44790774,TRUE,TRUE,Rainy,84,5.123790793
North,Chalky,Soybean,696.3488051,19.20383782,FALSE,TRUE,Sunny,146,4.703738326
North,Chalky,Wheat,575.2878552,23.23553936,TRUE,FALSE,Cloudy,67,5.058686789
North,Chalky,Maize,897.1034542,27.77201805,FALSE,FALSE,Sunny,84,5.094292734
North,Clay,Soybean,272.0505746,35.03691355,TRUE,TRUE,Rainy,118,4.641245126
North,Loam,Maize,422.594227,27.79641795,TRUE,FALSE,Rainy,83,4.107177644
East,Peaty,Barley,770.1576218,27.71433069,FALSE,TRUE,Rainy,99,5.250441163
South,Silt,Barley,843.5080749,34.08150915,FALSE,FALSE,Sunny,138,4.45344342
East,Peaty,Maize,445.0093807,39.67694038,FALSE,FALSE,Cloudy,105,2.778746191
West,Peaty,Rice,396.6124076,25.55290755,FALSE,FALSE,Cloudy,127,2.248345812
East,Peaty,Wheat,419.6524662,19.11218674,TRUE,TRUE,Sunny,69,5.387089196
North,Peaty,Wheat,280.8603734,25.77595228,FALSE,FALSE,Sunny,65,2.058094572
East,Silt,Barley,201.7660396,34.91045218,FALSE,TRUE,Cloudy,99,3.078361629
North,Loam,Rice,693.8977748,28.13080174,TRUE,TRUE,Cloudy,146,6.863986846
East,Sandy,Barley,487.4796251,29.45833037,TRUE,FALSE,Sunny,144,3.034154764
North,Chalky,Cotton,908.6074198,34.09469701,FALSE,FALSE,Sunny,78,4.636439152
West,Clay,Wheat,107.5587022,27.42997034,FALSE,FALSE,Sunny,138,1.151053058
North,Loam,Barley,200.6454017,24.99752958,TRUE,FALSE,Sunny,116,3.054292762
East,Silt,Maize,610.2624745,37.31458936,TRUE,TRUE,Sunny,95,6.737278095
West,Loam,Barley,419.3219468,20.46718284,TRUE,FALSE,Sunny,97,3.603087146
East,Silt,Maize,900.3110977,33.87532257,TRUE,TRUE,Sunny,86,8.114759984
West,Clay,Soybean,900.7338409,32.53272624,FALSE,TRUE,Rainy,111,6.425243097
South,Silt,Maize,467.5449619,19.32941184,FALSE,TRUE,Sunny,113,3.390424351
South,Loam,Soybean,876.7465424,16.6765997,TRUE,FALSE,Rainy,147,6.042947463
South,Sandy,Maize,716.3336741,21.96898375,TRUE,TRUE,Cloudy,100,6.785676344
East,Loam,Cotton,472.2079711,35.49372702,TRUE,FALSE,Cloudy,86,3.462109463
East,Clay,Barley,459.3699017,18.61276117,FALSE,FALSE,Cloudy,143,2.549248136
West,Chalky,Maize,417.7844833,36.9623925,TRUE,FALSE,Rainy,137,4.506707799
West,Silt,Cotton,328.6553856,37.70816483,TRUE,FALSE,Cloudy,71,2.995576526
West,Silt,Rice,613.3057934,28.60557775,TRUE,FALSE,Sunny,105,4.674308895
West,Peaty,Cotton,600.5133541,34.06403927,TRUE,TRUE,Cloudy,61,5.833724043
North,Loam,Maize,734.9436401,17.78008484,TRUE,FALSE,Sunny,132,4.823147342
South,Peaty,Rice,469.2216028,17.82877749,TRUE,TRUE,Cloudy,99,4.453816572
North,Peaty,Maize,866.193901,37.32512898,TRUE,FALSE,Cloudy,111,5.782292119
North,Loam,Cotton,655.1526983,28.95549393,FALSE,FALSE,Cloudy,114,4.065556123
North,Chalky,Soybean,835.0323108,32.78484152,FALSE,FALSE,Rainy,117,5.000829499
North,Loam,Rice,524.9867222,22.25950041,TRUE,TRUE,Sunny,107,5.160104636
South,Peaty,Rice,168.4832997,17.98558075,TRUE,FALSE,Rainy,60,2.55959623
North,Chalky,Cotton,955.236483,28.20614749,TRUE,FALSE,Sunny,80,6.363851005
West,Silt,Wheat,754.791294,29.46051237,FALSE,FALSE,Rainy,98,3.932438351
East,Sandy,Rice,331.9366966,28.89085767,FALSE,TRUE,Cloudy,71,3.827378716
West,Loam,Wheat,957.3445032,19.52483091,TRUE,TRUE,Rainy,63,7.980998252
East,Loam,Cotton,583.1918987,25.10666316,FALSE,TRUE,Rainy,113,4.499057565
West,Sandy,Wheat,258.9458802,31.20086052,FALSE,FALSE,Sunny,67,1.758334875
West,Loam,Soybean,441.4867639,18.15251881,TRUE,FALSE,Rainy,76,3.754276438
East,Silt,Barley,635.632549,28.41228085,FALSE,FALSE,Cloudy,90,4.642737932
South,Sandy,Barley,686.281663,31.93846342,FALSE,TRUE,Cloudy,83,4.734659683
North,Peaty,Maize,365.1492454,32.25378182,TRUE,TRUE,Cloudy,127,4.138587417
West,Sandy,Rice,638.5281345,38.92871641,FALSE,TRUE,Cloudy,87,4.605927268
South,Peaty,Soybean,166.9016788,23.06572406,FALSE,FALSE,Sunny,77,1.323224297
North,Silt,Maize,482.8455055,22.00179352,FALSE,FALSE,Sunny,93,2.768247046
South,Clay,Wheat,531.2565045,32.61803657,FALSE,FALSE,Cloudy,134,2.847506314
South,Peaty,Cotton,398.8005212,37.33910578,FALSE,FALSE,Rainy,131,2.383556459
North,Sandy,Rice,550.0733489,15.54339861,TRUE,FALSE,Rainy,95,4.268646789
West,Loam,Rice,714.3206179,19.33008064,FALSE,TRUE,Sunny,87,6.310833681
South,Loam,Rice,228.620149,36.03057452,TRUE,TRUE,Sunny,124,4.250598833
West,Peaty,Soybean,811.157804,19.94653469,TRUE,TRUE,Cloudy,116,7.138815425
West,Peaty,Maize,546.4365753,37.53667878,TRUE,TRUE,Rainy,74,6.716028784
West,Sandy,Maize,629.9654839,17.91267569,TRUE,FALSE,Sunny,140,5.343244277
North,Silt,Soybean,415.9623753,23.79621885,FALSE,TRUE,Sunny,89,4.084015431
East,Clay,Soybean,827.977618,23.75879959,TRUE,FALSE,Rainy,105,6.233795656
West,Loam,Barley,104.2084861,15.06643444,TRUE,TRUE,Cloudy,77,3.695861827
East,Chalky,Soybean,106.9572451,28.58141325,FALSE,TRUE,Cloudy,79,1.756855535
East,Loam,Cotton,928.7468117,17.54081344,FALSE,TRUE,Sunny,140,6.558437415
South,Silt,Soybean,710.3668631,20.28706451,FALSE,TRUE,Sunny,149,5.784365388
West,Loam,Wheat,857.8176182,34.83133561,FALSE,TRUE,Sunny,132,6.505786413
West,Sandy,Rice,869.6880075,37.80320813,TRUE,FALSE,Cloudy,65,6.755905914
West,Clay,Wheat,137.2497753,39.11489293,TRUE,TRUE,Rainy,68,4.782388619
East,Chalky,Cotton,909.4623265,31.40936791,TRUE,TRUE,Cloudy,108,7.781977055
North,Clay,Rice,108.2408595,39.9887035,FALSE,FALSE,Rainy,141,1.978782144
East,Chalky,Rice,489.6776756,28.4948637,FALSE,FALSE,Cloudy,95,2.905430442
West,Chalky,Maize,348.3353963,37.74767735,FALSE,TRUE,Rainy,107,4.078291721
West,Silt,Maize,357.4849435,18.72323916,TRUE,FALSE,Cloudy,138,4.332045225
West,Silt,Rice,628.8669794,34.66890885,TRUE,TRUE,Sunny,75,6.506470857
East,Loam,Wheat,382.6307213,27.86168413,TRUE,FALSE,Cloudy,90,4.296049273
West,Silt,Wheat,236.9853893,30.05747961,TRUE,TRUE,Cloudy,145,4.803667493
South,Loam,Rice,908.62472,29.72093553,FALSE,TRUE,Cloudy,86,6.012473448
West,Chalky,Maize,783.0419237,36.90043456,FALSE,TRUE,Rainy,92,6.8114052
North,Chalky,Soybean,336.0924372,24.18765021,FALSE,FALSE,Cloudy,117,2.345567189
